palabra,freq
10,2
levanté,1
temprano,1
caminé,1
bastante,1
pensamientos,1
iban,1
venían,1
tranquilo,1
paz,2
dejaba,1
pasar,2
sabiendo,1
trataba,2
día,4
institucional,1
nuestro,1
casi,2
siglo,1
peronista,2
terminaba,1
mandato,1
motivos,1
historiadores,1
e,2
intelectuales,1
dilucidar,1
razones,1
pasaron,2
par,2
horas,2
explicación,1
pareció,1
entreverse,1
llegué,1
ingresar,1
ambiente,2
cargado,1
energía,2
diferente,2
ilusión,1
sentía,1
predominara,1
alegría,2
respiraba,1
revancha,1
presente,1
aquel,2
sentido,1
sueño,1
compartidode,1
construir,1
vivido,1
finales,1
2015,1
bien,5
contrario,1
querer,1
mostrarme,1
mostrarle,1
41%,1
argentinos,1
nuestra,2
propuestaun,1
mensaje,1
tipo,3
«¡volvimos,1
ahora,1
bánquensela!»,1
sentimiento,2
(o,1
dichoese,1
resentimiento),1
manifestó,1
claramente,1
comenzaron,1
cantar,1
marcha,1
incluso,1
cantarla,1
intención,1
marcada,1
prolongarla,1
hasta,2
infinito,1
actitud,1
provocadora,1
desafiante,1
buscaba,1
algún,1
reacción,1
acompañaba,1
siempre,2
despojado,1
bronca,1
resentimiento,1
u,1
odio,3
tuve,3
sirve,1
enferma,1
contrario,1
contento,1
contribuido,1
continuidad,1
democrática,1
faltado,1
tanto,3
soy,1
optimista,1
inclaudicable,1
debíamos,1
capitalizar,1
todoslos,1
estába,1
mos,1
yendo,2
llegando,2
oportunidad,1
mostrar,1
inaugurar,1
nueva,1
mostrando,1
hacer,2
esos,2
sentimientos,2
cuestas,1
cumplido,1
rol,1
ceremonia,1
traspaso,1
rápido,2
pude,3
espacio,1
libre,1
festejos,1
nuevos,1
inquilinos,1
consciente,1
ninguno,1
gestos,1
vicepresidenta,1
realmente,1
elijo,1
engancharme,1
esas,1
sé,3
acuerdo,1
característica,1
quisieran,2
verme,1
respondiendo,1
medios,2
insulto,1
denuncia,1
falsa,1
crítica,1
infundada,1
